Geneid	Bowtie2 on data 120, data 104, and data 103: alignments
b4413	78
b4762	43
b4577	3975
b4810	2334
b4840	453
b4414	746
b4809	269
b0201	3225
b0202	26
b0203	2
b0204	4707
b0205	61
b0206	56
b0216	103
b0244	44
b4690	0
b0455	2377
b4585	52
b4831	9985
b0536	32
b4835	60
b4763	4242
b0664	22
b0665	22
b0666	9
b0668	14
b0670	34
b0672	25
b0673	41
b4808	35
b4764	218
b0743	177
b0744	24
b0745	1
b0746	35
b0747	24
b0748	60
b0749	51
b4814	332
b4416	4273
b4417	48
b0883	89
b0971	61
b1032	68
b4826	58
b4418	290
b4832	77
b4843	234
b4806	0
b4420	221
b4422	172
b4424	85
b4813	80
b4425	475
b1230	278
b1231	97
b4426	87
b4699	497
b4714	0
b4833	0
b4427	40
b4597	88
b4429	367
b4698	98
b1574	182
b1665	7
b1666	21
b4430	39
b4431	129
b4432	247
b4433	0
b4717	7937
b4828	100
b4839	114
b4434	29
b4759	16
b1909	13
b1910	68
b1911	204
b4719	53
b4827	143
b1954	755
b4603	34
b1975	301
b1977	130
b1984	125
b1986	119
b1989	21
b4435	0
b4436	605
b4437	954
b4438	67
b2189	70
b4439	57
b2348	17
b2396	12
b2397	36
b2401	35
b2402	118
b2403	4
b2404	0
b4761	319
b4811	36
b4440	426
b4441	95411
b4608	51
b2588	122
b2589	4329
b2590	199
b2591	4021
b4609	4994
b4805	5804
b2652	55
b4442	2774
b2691	70
b2692	40
b2693	46
b2694	30
b2695	83
b4701	41
b4844	259
b4408	295478
b4443	12537
b2814	84
b2815	79
b2816	48
b4444	42
b4445	61
b2864	82
b2911	867693
b4446	433
b2967	25
b4447	1595
b4611	1555
b3069	29
b3123	562936
b4449	333
b3171	232
b3174	221
b4450	107
b3272	66
b3273	4
b3274	61
b3275	3408
b3276	8
b3277	17
b3278	3872
b4846	150
b4841	929
b4842	475
b4451	65
b4712	41
b4713	57
b4704	344
b4718	419
b4452	164
b4454	467
b3545	52
b4834	117
b4760	4
b3658	53
b4829	139
b4616	78
b4804	15130
b3756	2629
b3757	101
b3758	3424
b3759	69
b3760	12
b3761	59
b3796	73
b3797	44
b3798	60
b3799	48
b4456	8886
b4707	170
b3851	2731
b3852	7
b3853	14
b3854	3876
b3855	36
b3864	187
b4457	81333
b4836	2118
b4716	1575
b4458	72
b3968	3080
b3969	158
b3970	3561
b3971	71
b3976	53
b3977	427
b3978	182
b3979	183
b4691	0
b4007	3200
b4008	137
b4009	3896
b4010	60
b4830	215
b4807	110
b4758	138
b4459	3904
b4134	242
b4825	4455
b4163	162
b4164	47
b4165	26
b4270	14
b4624	0
b4838	0
b4625	38
b4368	56
b4369	55
b4370	55
